StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q139,Q229,Q200_First Click,Q200_Last Click,Q200_Page Submit,Q200_Click Count,Q230,Q202_First Click,Q202_Last Click,Q202_Page Submit,Q202_Click Count,Q147,Q22,Q19,Q142,Q21,Q206,Q207,Q208,Q209,Q210,Q213,Q214,Q215,Q216,Q217,Q193,Q170,Q164,Q143,Q144,Q220,Q221,Q223,Q224,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q130,Q172,Q174,Q176,Q178,Q180,Q182,Q184,Q186,Q188,Q190,Q192,Q194,Q196,Q198,Q200,Q202,Q204,SC0,SC1,SC2,SC3,SC4,SC5,confirmation_code,treatment_group,Comprehension score1,Enter Embedded Data Field Name Here...,Comprehension score2,Comprehension score3,ins_code,no_ins_code,LotteryQuiz1,LotteryQuiz2,LotteryQuiz3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q139,"When you finish the video, please certify that you have completed it.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"When you finish the video, please certify that you have completed it.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"True or False, If you do not enter your correct MTurk ID when prompted, then the MTurk requester may not be able to give you the bonus you earn in the ranching game.","Your gain in net worth at the end of the game will be translated into real-life bonus money at a rate of $50,000 of game money to $1 of real money. 
You start off with $600,000, so if at the end of the game, you have $625,000 in the net worth (bank account plus the value of your herd), how much bonus money will you get after the game ends?","True or False, before starting the game, you will play five “practice rounds” that will not count towards your final net worth.",How many rounds will you play in the game that counts for your MTurk bonus?,"If you do not complete the survey after the simulation, will you receive your HIT payment and bonus?","True or False, If you do not enter your correct MTurk ID when prompted, then the MTurk requester may not be able to give you the bonus you earn in the ranching game.","Your gain in net worth at the end of the game will be translated into real-life bonus money at a rate of $50,000 of game money to $1 of real money. 
You start off with $600,000, so if at the end of the game, you have $625,000 in the net worth (bank account plus the value of your herd), how much bonus money will you get after the game ends?","True or False, before starting the game, you will play five “practice rounds” that will not count towards your final net worth.",How many rounds will you play in the game that counts for your MTurk bonus?,"If you do not complete the survey after the simulation, will you receive your HIT payment and bonus?","True or False, If you do not enter your correct MTurk ID when prompted, then the MTurk requester may not be able to give you the bonus you earn in the ranching game.","Your gain in net worth at the end of the game will be translated into real-life bonus money at a rate of $50,000 of game money to $1 of real money. 
You start off with $600,000, so if at the end of the game, you have $625,000 in the net worth (bank account plus the value of your herd), how much bonus money will you get after the game ends?","True or False, before starting the game, you will play five “practice rounds” that will not count towards your final net worth.",How many rounds will you play in the game that counts for your MTurk bonus?,"If you do not complete the survey after the simulation, will you receive your HIT payment and bonus?","Please enter your MTurk Worker ID. (To find your MTurk Worker ID, make sure you are signed into MTurk and then follow this link: www.mturk.com/mturk/dashboard. Your MTurk Worker ID should be in the top right corner.)
Be sure to enter your correct MTurk Worker ID. We will need your ID to award your bonuses and will be unable to award bonuses without correct IDs.","Please click the URL below in order to run the game.
	A new tab will open where you will play the game.
	Enter the following code when prompted on the first screen: [Field-ins_code]
	After completing the game, copy the completion code given to you and enter it below.
	Then complete the last two sections of this survey.


 

Leave this tab open to be able to access the ranching info below and to return to the rest of the survey after the simulation. 

 

Click here to open the simulation.

 

If you have any technical problems with the simulation, email us at ranching.io@gmail.com.

 
Ranching game completion code:","Please click the URL below in order to run the game. A new tab will open where you will play the game. Enter the following code when prompted on the first screen: [Field-no_ins_code] After completing the game, copy the completion code given to you and enter it below. Then complete the last two sections of this survey.

 

Leave this tab open to be able to access the ranching info below and to return to the rest of the survey after the simulation. 

 

 

Click here to open the simulation.

 

 

If you have any technical problems with the simulation, email us at ranching.io@gmail.com

 

 

Ranching game completion code:","In the lottery choices after the ranching game, how many participants will be selected for an additional MTurk bonus determined by your lottery choices?","If you are selected to have one of your lottery choices implemented, which lottery will be chosen?","In the lottery choices after the ranching game, how many participants will be selected for an additional MTurk bonus determined by your lottery choices?","If you are selected to have one of your lottery choices implemented, which lottery will be chosen?","In the lottery choices after the ranching game, how many participants will be selected for an additional MTurk bonus determined by your lottery choices?","If you are selected to have one of your lottery choices implemented, which lottery will be chosen?",Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Which lottery would you rather play?,Select Gender,Enter Age,Please specify your race (select all that apply),Please specify your ethnicity (select all that apply),Please select five if you are reading this question,In which country do you reside?,In what state do you reside?,What is your five digit zip code?,"Before this experiment, how much did you know about cattle ranching?","Before this experiment, how much did you know about drought?","On a scale of 1 to 7, how much does drought impact your life?",Are you a vegetarian or vegan?,What was your total household income before taxes from all sources in 2016?,What is the highest level of education you have completed?,Do you agree or disagree: leave this question blank if you are still reading.,"When you vote, if there are only Democrats or Republicans on the ballot, which party do you tend to vote for?",Do you identify as an environmentalist?,Comprehension1,Comprehension2,Comprehension3,LotteryQuiz1,LotteryQuiz2,LotteryQuiz3,confirmation_code,treatment_group,Comprehension score1,Enter Embedded Data Field Name Here...,Comprehension score2,Comprehension score3,ins_code,no_ins_code,LotteryQuiz1,LotteryQuiz2,LotteryQuiz3
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID136""}","{""ImportId"":""QID229""}","{""ImportId"":""QID200_FIRST_CLICK""}","{""ImportId"":""QID200_LAST_CLICK""}","{""ImportId"":""QID200_PAGE_SUBMIT""}","{""ImportId"":""QID200_CLICK_COUNT""}","{""ImportId"":""QID230""}","{""ImportId"":""QID202_FIRST_CLICK""}","{""ImportId"":""QID202_LAST_CLICK""}","{""ImportId"":""QID202_PAGE_SUBMIT""}","{""ImportId"":""QID202_CLICK_COUNT""}","{""ImportId"":""QID147""}","{""ImportId"":""QID22""}","{""ImportId"":""QID19""}","{""ImportId"":""QID142""}","{""ImportId"":""QID21""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""QID208""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID193_TEXT""}","{""ImportId"":""QID170_TEXT""}","{""ImportId"":""QID164_TEXT""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID223""}","{""ImportId"":""QID224""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172_TEXT""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178_TEXT""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""SC_a3PAzqRQMt3TXYV""}","{""ImportId"":""SC_8DfF1CXtOu72zqd""}","{""ImportId"":""SC_6DWyXoveosqce6p""}","{""ImportId"":""SC_3qr0hbGC7txcGJT""}","{""ImportId"":""SC_e2vXR33WEQdiQND""}","{""ImportId"":""SC_bNwkR9yoMpuPlS5""}","{""ImportId"":""confirmation_code""}","{""ImportId"":""treatment_group""}","{""ImportId"":""Comprehension score1""}","{""ImportId"":""Enter Embedded Data Field Name Here...""}","{""ImportId"":""Comprehension score2""}","{""ImportId"":""Comprehension score3""}","{""ImportId"":""ins_code""}","{""ImportId"":""no_ins_code""}","{""ImportId"":""LotteryQuiz1""}","{""ImportId"":""LotteryQuiz2""}","{""ImportId"":""LotteryQuiz3""}"
2017-09-13 13:29:40,2017-09-13 14:06:41,IP Address,96.246.98.25,100,2221,True,2017-09-13 14:06:41,R_8FZMlrF2yYVVBhr,,,,,40.623397827148,-74.028800964355,anonymous,,I consent to participate in this study,,623.229,623.229,624.294,1,,,,,,True,$5.50,True,10,No,True,$0.50,True,10,No,,,,,,A3GPTSDDHJ2DBV,52676,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,29,Asian,Not Hispanic or Latino,5,United States,NY New York,11220,Nothing,I've read or talked about drought at least once before,2,No,"$45,000 to $59,999",Bachelors degree,,"I vote for Democrats more often than ",Yes,11,5,0,2,0,0,61927,ins,4,,5,,1844275,,2,,
2017-09-13 13:31:52,2017-09-13 14:09:32,IP Address,75.183.32.5,100,2260,True,2017-09-13 14:09:32,R_6MeMRdkKI03eq5T,,,,,36.14599609375,-80.32430267334,anonymous,,I consent to participate in this study,,,,,,,35.663,35.663,762.647,1,True,$0.50,True,10,No,,,,,,,,,,,A2IKSCWK5EOG79,,32174,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,35,White or Caucasian,Not Hispanic or Latino,5,United States,NC North Carolina,27106,Nothing,I am familiar with drought,1 (No Impact),No,"$60,000 to $74,999",Bachelors degree,,"I nearly always vote for Democrats ",No,7,0,0,2,0,0,36408,no_ins,5,,,,,2408680,2,,
2017-09-13 13:28:54,2017-09-13 14:09:59,IP Address,50.201.35.162,100,2465,True,2017-09-13 14:09:59,R_02Qcg3MDjonr9aJ,,,,,38.779098510742,-76.779403686523,anonymous,,I consent to participate in this study,,,,,,,24.138,123.562,986.041,2,True,$0.50,True,10,No,,,,,,,,,,,A1RSJ45RXTREWN,,21553,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,37,White or Caucasian,Not Hispanic or Latino,5,United States,MD Maryland,21012,Nothing,I've read or talked about drought at least once before,2,No,"$90,000 to $104,999",Bachelors degree,,"I vote for Democrats more often than ",Yes,7,0,0,2,0,0,53198,no_ins,5,,,,,2090268,2,,
2017-09-13 13:34:38,2017-09-13 14:11:32,IP Address,98.176.29.9,100,2214,True,2017-09-13 14:11:32,R_eh2GVHheO6IhVbf,,,,,32.856094360352,-116.9967956543,anonymous,,I consent to participate in this study,,0,0,0.924,0,,,,,,True,$0.50,True,10,No,,,,,,,,,,,AKLUPDQ988YAU,75507,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,28,White or Caucasian,Not Hispanic or Latino,5,United States,CA California,92122,Nothing,Nothing,2,No,"$45,000 to $59,999",Bachelors degree,,"I vote for Democrats more often than ",No,7,0,0,2,0,0,40359,ins,5,,,,1761235,,2,,
2017-09-13 13:41:25,2017-09-13 14:15:45,IP Address,172.101.51.97,100,2060,True,2017-09-13 14:15:45,R_d1iP61gWCNc5u4J,,,,,44.561599731445,-69.55590057373,anonymous,,I consent to participate in this study,,,,,,,0,0,1165.337,0,True,$5.50,True,10,No,True,$0.50,True,10,No,,,,,,ABWD0WJOT0B35,,42107,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery B: 20% chance of winning $3.85, 80% chance of winning $0.10","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery B: 40% chance of winning $3.85, 60% chance of winning $0.10","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Female,29,White or Caucasian,Not Hispanic or Latino,5,United States,ME Maine,04901,Nothing,Nothing,1 (No Impact),No,"$15,000 to $29,999",Bachelors degree,,"I nearly always vote for Democrats ",No,11,5,0,2,0,0,41925,no_ins,4,,5,,,2660880,2,,
2017-09-13 13:53:44,2017-09-13 14:27:29,IP Address,72.179.0.209,100,2025,True,2017-09-13 14:27:29,R_9uw0F9cPKMJH6RL,,,,,30.370300292969,-97.845397949219,anonymous,,I consent to participate in this study,,,,,,,758.131,758.131,764.328,1,True,$0.50,True,10,No,,,,,,,,,,,AZVQ8TJ73ZGKM,,30277,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery B: 40% chance of winning $3.85, 60% chance of winning $0.10","Lottery B: 50% chance of winning $3.85, 50% chance of winning $0.10","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,26,White or Caucasian,Hispanic or Latino,5,United States,TX Texas,78750,Nothing,Nothing,1 (No Impact),No,"$30,000 to $44,999","High school diploma or equivalent ",,"I vote for Democrats more often than ",No,7,0,0,2,0,0,73858,no_ins,5,,,,,2557259,2,,
2017-09-13 13:28:59,2017-09-13 14:31:27,IP Address,98.167.210.218,100,3748,True,2017-09-13 14:31:28,R_5mpfU3KHoakcBg1,,,,,33.24870300293,-111.63430023193,anonymous,,I consent to participate in this study,,0,0,795.306,0,,,,,,True,$0.50,True,10,No,,,,,,,,,,,A1Z3NTRGIUZ240,99292,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,30,White or Caucasian,"Hispanic or Latino,Not Hispanic or Latino",5,United States,AZ Arizona,85212,Nothing,Nothing,5,No,"$60,000 to $74,999",Bachelors degree,,"I vote for Democrats more often than ",No,7,0,0,2,0,0,42706,ins,5,,,,1441041,,2,,
2017-09-13 13:52:28,2017-09-13 14:34:57,IP Address,132.147.20.195,100,2549,True,2017-09-13 14:34:57,R_e5whYZA8IRd8ea1,,,,,33.598205566406,-81.671203613281,anonymous,,I consent to participate in this study,,0,0,1124.717,0,,,,,,True,$0.50,True,10,No,,,,,,,,,,,AK3H5QRAROFGP,75228,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,29,White or Caucasian,Not Hispanic or Latino,5,United States,SC South Carolina,29801,I've read or talked about cattle ranching at least once before,I've read or talked about drought at least once before,2,No,"$30,000 to $44,999",Bachelors degree,,"I vote for Republicans more often than I vote for Democrats ",No,7,0,0,2,0,0,95394,ins,5,,,,1245316,,2,,
