simID,trt,hay,herd,risk,riskXtrt,herdy_1,year,assets.cash,study
1008334,1,0,600,0.28,0.28,600,1,158983.337,Ranchers
1008334,1,65.38,600,0.28,0.28,600,2,160876.1254591,Ranchers
1008334,1,33.18,600,0.28,0.28,600,3,183483.794842347,Ranchers
1008334,1,85.68,600,0.28,0.28,600,4,194532.07848544,Ranchers
1008334,1,12.46,600,0.28,0.28,600,5,240078.21425749,Ranchers
1008334,1,38.08,600,0.28,0.28,600,6,262854.436886522,Ranchers
1008334,1,0,600,0.28,0.28,600,7,309281.47755173,Ranchers
1008334,1,85.54,600,0.28,0.28,600,8,313604.412111754,Ranchers
1008334,1,25.9,600,0.28,0.28,600,9,346006.799327187,Ranchers
1008334,1,35.42,600,0.28,0.28,600,10,373052.43162411,Ranchers
1051993,1,0,600,0,0,600,1,158983.337,Ranchers
1051993,1,64.54,600,0,0,600,2,161452.3654591,Ranchers
1051993,1,21.7,600,0,0,600,3,191955.079874347,Ranchers
1051993,1,74.76,600,0,0,600,4,206552.748252388,Ranchers
1051993,1,7.84,600,0,0,600,5,243146.775439926,Ranchers
1051993,1,41.02,600,0,0,600,6,254791.569717515,Ranchers
1051993,1,0,600,0,0,600,7,300942.054038826,Ranchers
1051993,1,74.48,600,0,0,600,8,312566.106372358,Ranchers
1051993,1,13.86,600,0,0,600,9,353192.31970093,Ranchers
1051993,1,32.2,600,0,0,600,10,382693.335346672,Ranchers
1071532,1,0,600,0,0,600,1,158983.337,Ranchers
1071532,1,66.64,600,0,0,600,2,160011.7654591,Ranchers
1071532,1,19.6,600,0,0,600,3,189893.874202753,Ranchers
1071532,1,82.32,600,0,0,600,4,201162.023567907,Ranchers
1071532,1,8.12,600,0,0,600,5,245817.577932362,Ranchers
1071532,1,43.68,600,0,0,600,6,256291.740735442,Ranchers
1071532,1,0,600,0,0,600,7,303076.780922667,Ranchers
1071532,1,72.8,600,0,0,600,8,315926.534388315,Ranchers
1071532,1,31.08,600,0,0,600,9,344855.090397834,Ranchers
1071532,1,39.48,600,0,0,600,10,369076.05907848,Ranchers
1075093,1,0,600,0.28,0.28,600,1,158983.337,Ranchers
1075093,1,53.06,600,0.28,0.28,600,2,163792.962850029,Ranchers
1075093,1,23.66,600,0.28,0.28,600,3,179777.879755785,Ranchers
1075093,1,63.56,598,0.28,0.28,600,4,192974.822302413,Ranchers
1075093,1,16.24,600,0.28,0.28,598,5,204853.544187386,Ranchers
1075093,1,30.8,600,0.28,0.28,600,6,228500.140633013,Ranchers
1075093,1,0,600,0.28,0.28,600,7,274915.028936725,Ranchers
1075093,1,63.7,600,0.28,0.28,600,8,293041.434309255,Ranchers
1075093,1,21.56,600,0.28,0.28,600,9,327715.751386062,Ranchers
1075093,1,25.9,600,0.28,0.28,600,10,360664.720738604,Ranchers
1083331,1,0,600,0,0,600,1,158983.337,Ranchers
1083331,1,65.24,600,0,0,600,2,160972.1654591,Ranchers
1083331,1,25.34,600,0,0,600,3,188961.369014347,Ranchers
1083331,1,80.78,600,0,0,600,4,203558.933451539,Ranchers
1083331,1,9.24,600,0,0,600,5,248730.737903981,Ranchers
1083331,1,38.36,600,0,0,600,6,266425.502094087,Ranchers
1083331,1,0,600,0,0,600,7,313558.130295914,Ranchers
1083331,1,82.6,601,0,0,600,8,320044.594045064,Ranchers
1083331,1,16.94,600,0,0,601,9,359054.53950081,Ranchers
1083331,1,33.88,600,0,0,600,10,388187.249285688,Ranchers
1085647,1,0,600,0.28,0.28,600,1,158983.337,Ranchers
1085647,1,65.94,600,0.28,0.28,600,2,160491.9654591,Ranchers
1085647,1,32.06,600,0.28,0.28,600,3,183854.778154347,Ranchers
1085647,1,77.14,600,0.28,0.28,600,4,199626.222905655,Ranchers
1085647,1,0,600,0.28,0.28,600,5,240791.843536783,Ranchers
1085647,1,42.7,600,0.28,0.28,600,6,244864.743650094,Ranchers
1085647,1,0,600,0.28,0.28,600,7,290674.737837293,Ranchers
1085647,1,85.26,600,0.28,0.28,600,8,288676.054729157,Ranchers
1085647,1,16.66,600,0.28,0.28,600,9,326562.039286367,Ranchers
1085647,1,24.92,600,0.28,0.28,600,10,360143.71631389,Ranchers
1087330,1,0,600,0.28,0.28,600,1,158983.337,Ranchers
1087330,1,58.38,600,0.28,0.28,600,2,163700.170060657,Ranchers
1087330,1,28.28,600,0.28,0.28,600,3,186308.664173738,Ranchers
1087330,1,84.14,600,0.28,0.28,600,4,198510.280834897,Ranchers
1087330,1,0,600,0.28,0.28,600,5,241657.637123285,Ranchers
1087330,1,49.14,600,0.28,0.28,600,6,231958.098979449,Ranchers
1087330,1,0,600,0.28,0.28,600,7,277325.395254444,Ranchers
1087330,1,82.88,600,0.28,0.28,600,8,282376.996191671,Ranchers
1087330,1,23.24,600,0.28,0.28,600,9,315533.043041046,Ranchers
1087330,1,18.62,600,0.28,0.28,600,10,353058.225497354,Ranchers
1096853,1,0,600,0,0,600,1,158983.337,Ranchers
1096853,1,68.6,600,0,0,600,2,158522.50385,Ranchers
1096853,1,25.9,600,0,0,600,3,186043.524012055,Ranchers
1096853,1,84.28,600,0,0,600,4,198140.006365668,Ranchers
1096853,1,15.4,600,0,0,600,5,241793.054064011,Ranchers
1096853,1,36.82,600,0,0,600,6,265492.455698406,Ranchers
1096853,1,0,600,0,0,600,7,312009.980408862,Ranchers
1096853,1,73.36,600,0,0,600,8,324781.982616886,Ranchers
1096853,1,20.86,600,0,0,600,9,361025.200500645,Ranchers
1096853,1,26.32,600,0,0,600,10,394828.563957817,Ranchers
1137073,1,0,600,0,0,600,1,158983.337,Ranchers
1137073,1,42.14,600,0,0,600,2,162452.720912492,Ranchers
1137073,1,21.28,600,0,0,600,3,166974.604473584,Ranchers
1137073,1,64.54,600,0,0,600,4,174042.645651907,Ranchers
1137073,1,0,600,0,0,600,5,188452.862014281,Ranchers
1137073,1,27.3,600,0,0,600,6,186123.085114995,Ranchers
1137073,1,0,600,0,0,600,7,218825.62041444,Ranchers
1137073,1,76.72,600,0,0,600,8,223764.039074655,Ranchers
1137073,1,21.7,600,0,0,600,9,254799.901494916,Ranchers
1137073,1,38.64,600,0,0,600,10,276508.217196191,Ranchers
1158105,1,0,600,0,0,600,1,158983.337,Ranchers
1158105,1,67.76,600,0,0,600,2,159243.4454591,Ranchers
1158105,1,25.62,600,0,0,600,3,186981.273918347,Ranchers
1158105,1,84.7,600,0,0,600,4,198821.801093746,Ranchers
1158105,1,10.78,600,0,0,600,5,245500.109244648,Ranchers
1158105,1,23.66,600,0,0,600,6,277201.94287174,Ranchers
1158105,1,0,600,0,0,600,7,323538.00299224,Ranchers
1158105,1,72.1,600,0,0,600,8,338152.876374874,Ranchers
1158105,1,12.6,600,0,0,600,9,380521.075914532,Ranchers
1158105,1,20.02,600,0,0,600,10,419314.947898401,Ranchers
